_id,Up_System,predicted,manual,title,authors,book_format,cur_price,old_price,isbn13,publisher,publication_date,pages,product_dimensions
3293,66A,0,,Your Guide to Forest Bathing: Experience the Healing Power of Nature,M. Amos Clifford ,Paperback,$12.35,$14.95,9.78157324738e+12,Conari Press,04/01/18,192.0,5.1(w) x 7.1(h) x 0.4(d)
4515,66B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
1266,67A,0,,Guilty: A gripping psychological thriller that will have you hooked,Laura Elliot ,Paperback,$9.89,$10.99,9.78178681143e+12,Bookouture,06/20/17,392.0,5.1(w) x 7.8(h) x 0.9(d)
1440,67B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
892,68A,0,,Listening for the Heartbeat of God: A Celtic Spirituality,J Philip Newell ,Paperback,$10.31,$11.95,9.7808091376e+12,Paulist Press,01/01/97,112.0,5.4(w) x 8.1(h) x 0.3(d)
1440,68B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
3954,69A,1,,The Misadventures of Awkward Black Girl,Issa Rae ,Paperback,$9.98,$16.00,9.78147674908e+12,Atria / 37 INK; Reprint edition,07/12/16,224.0,5.5(w) x 8.4(h) x 0.6(d)
4368,69B,1,,The Misadventures of Awkward Black Girl,Issa Rae,Paperback,$13.60,$16.00,9781476749075,Atria / 37 INK,07/12/2016,224.0,5.50(w) x 8.30(h) x 0.60(d)
1475,70A,0,,Saving Meghan: A Novel,D.J. Palmer ,Hardcover,$16.23,$27.99,9.78125010746e+12,St. Martin's Press,04/09/19,384.0,6.3(w) x 9.5(h) x 1.4(d)
4515,70B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
3289,71A,0,,Complete Calisthenics: The Ultimate Guide to Bodyweight Exercise,Ashley Kalym ,Paperback,$22.36,$29.99,9.78190536754e+12,Lotus Pub; Revised edition edition,12/01/14,356.0,8.3(w) x 10.8(h) x 0.7(d)
1440,71B,0,,,Oscar Wilde,Paperback,$5.99,$5.99,9780380012770,HarperCollins Publishers,01/01/1976,160.0,4.19(w) x 6.75(h) x 0.40(d)
3782,72A,0,,Mrs. Kennedy and Me,Clint Hill and Lisa McCubbin ,Paperback,$2.99,$17.00,9.78145164846e+12,Gallery Books; 39608th edition,11/20/12,352.0,6.1(w) x 9.2(h) x 1(d)
4515,72B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
3155,73A,0,,438 Days: An Extraordinary True Story of Survival at Sea,Jonathan Franklin ,Paperback,$8.98,$16.99,9.78150111631e+12,Atria Books; Reprint edition,09/27/16,288.0,5.5(w) x 8.4(h) x 0.7(d)
4515,73B,0,,The Pluck of the Irish: 10 Notre Dame Sports Figures Who Made a Difference,Jim Hayden,Paperback,$12.46,$12.99,9780999396742,,06/23/2018,154.0,5.50(w) x 8.50(h) x 0.33(d)
995,74A,0,,You: A Novel,Caroline Kepnes ,Paperback,$9.68,$17.00,9.78150119543e+12,Atria/Emily Bestler Books; Media Tie-In edition,08/28/18,464.0,5.3(w) x 8.2(h) x 1.3(d)
1004,74B,0,,Darktown: A Novel,Thomas Mullen,Paperback,$15.30,$17.00,9781501133879,Atria / 37 INK,06/06/2017,384.0,5.30(w) x 8.20(h) x 1.10(d)
676,75A,0,,Serial Killers: The Method and Madness of Monsters,Peter Vronsky ,Paperback,$14.45,$18.00,9.7804251964e+12,Berkley Books,10/05/04,412.0,6(w) x 9(h) x 1(d)
