A_id,B_id
3698,4515
3985,4515
3058,4515
1056,3477
1681,4515
1354,4587
601,4515
3576,4515
4627,4515
3827,4515
1149,4515
2199,4307
981,585
1389,4515
1690,4515
1898,1027
636,4515
1831,4623
1231,4515
1081,4515
1208,2013
3495,4515
1354,4383
3627,4515
119,4515
3993,4515
4435,4515
2303,4515
2471,4515
3157,4515
176,2418
2754,4515
2698,4515
1328,4394
2700,4515
4024,4515
2638,4515
3861,4515
2975,4515
4675,4515
4400,4515
3410,4515
646,4515
2899,18
2728,4515
4598,656
3156,4515
4508,4515
2238,4515
4269,4515
912,982
1421,4711
680,4515
1307,4515
4718,4515
3336,4515
1927,4515
546,4515
3871,4515
3059,4515
4384,4515
1769,4515
1678,4515
3128,4515
100,1340
1938,1157
3104,4515
1082,4474
3114,4515
3140,4515
2430,4515
2981,4515
100,2837
2266,4515
1573,4031
2304,3312
1087,4515
1612,3874
3530,4515
3978,4515
1205,4515
1573,3557
891,4515
1585,4059
2244,3430
171,4515
2113,4515
3807,4515
1621,4515
3310,4515
3820,4515
3775,4515
3046,4515
1211,4515
3167,4515
2304,3444
4131,4515
3164,4515
2317,4515
9,4515
1595,4515
1756,4515
4586,4515
3537,4515
1340,4515
1676,4515
492,4515
2162,5452
3919,4515
2365,4515
4309,4515
1894,215
2496,722
3638,4515
1337,4589
3722,4515
1619,4515
4068,4515
3817,4515
3296,4515
287,4515
1886,4515
2031,1366
4223,4515
1236,3589
1926,4515
1432,4515
431,3929
2254,4515
1594,4515
2031,4515
3762,4515
523,4515
4277,4515
3520,4515
655,4515
4207,4515
4389,4515
2012,4515
1801,4515
1210,4515
1082,3597
2756,4515
3149,4515
4341,4515
1650,4515
3815,487
4205,4515
2182,4515
1305,4515
2212,1326
746,4515
803,4515
180,4515
1764,4515
611,4515
258,4515
1621,4406
905,4515
3744,4515
4138,4515
4589,4515
1394,647
3592,2094
1387,6
1300,4515
4257,4515
730,4515
1878,4515
4108,4691
1638,4917
1569,4515
3850,4515
1301,4515
409,4515
509,4515
1741,2238
3446,4515
2432,4515
1366,4386
566,4515
2818,4515
2967,4515
4630,4515
1024,6
2145,4515
1375,4764
903,4515
959,4515
4244,4515
2089,593
1796,4515
2221,4515
2207,4903
2001,4515
2130,4118
1147,3628
1018,4515
950,4515
1345,4515
1660,4515
3699,1136
1054,1469
3434,4515
1394,5072
2323,3923
3969,4967
3376,4515
2463,4077
2307,262
4577,4515
2666,4594
131,4515
1243,4515
3785,4515
820,4515
2446,4515
1277,4850
2551,4515
1898,4515
838,4515
3346,4515
1245,3803
3177,4515
3225,4515
1181,4515
971,4515
4224,4515
4120,4515
40,4515
418,4515
341,5369
653,4515
1082,4644
4377,4515
1832,2013
1911,4515
1345,3587
1842,4515
3355,4515
2892,4515
866,703
1708,4515
1199,4515
2649,4515
140,4515
628,4515
935,4646
1421,3541
2805,4515
347,4515
1529,4362
1813,605
1803,4515
1205,4525
1621,4383
65,4515
3722,4453
1653,2338
12,4515
3771,4515
3384,4515
3875,4515
205,4515
2540,4515
4678,4515
1558,4515
2409,4515
3694,4515
2260,4674
3797,4515
3483,4515
4478,4515
3550,4515
4033,4971
4362,4515
1678,1059
1351,2990
1022,4515
2648,4515
2937,4515
1111,4515
1386,4515
2183,2115
1500,4515
1024,4515
693,4515
100,2905
3393,4515
1400,4406
1138,4515
2452,4515
1365,4515
4651,4515
649,4515
1128,4515
3791,4515
3718,3999
432,4515
4259,4515
2479,4515
3989,4515
768,3660
2838,4515
2566,4515
2959,4515
2880,4515
4294,4515
2395,4515
2664,4515
1921,4515
1557,4515
3454,4515
3295,4515
885,4515
1837,4383
988,4515
1953,4515
4333,4515
205,189
3055,4515
2046,4912
2296,4515
2281,5081
2646,3250
4514,4515
2265,1591
4124,4515
4042,4515
2516,4515
2173,4262
4063,1741
2207,4903
1237,4515
2860,1651
100,1660
2293,4515
217,4515
3605,178
413,4515
1419,4515
1593,2012
2447,4515
3956,1307
1148,4515
1573,4587
2546,4600
2083,836
1888,2013
1828,4515
3149,523
316,4515
3984,4515
721,4515
1930,4515
3990,4515
1592,4515
2885,4515
912,4515
945,4515
2045,352
1709,3959
3163,4515
3828,2066
1337,4515
1813,3343
2515,4515
1593,647
2215,4515
2323,4490
2260,3541
3793,4515
3203,4515
1552,4515
3831,4515
2847,4515
3239,4515
2013,4515
4632,4515
2062,4515
1692,4515
2147,4515
2231,4175
321,4515
284,4515
1485,4515
641,4515
1347,4515
1573,4406
1028,4957
3664,2764
1888,1606
1222,4515
2934,4515
2222,2143
3328,4515
781,4515
3834,4515
2329,4515
3511,4515
2435,4515
1313,4515
1403,4515
2020,5038
294,4515
1515,4515
3042,4515
1023,253
2276,4049
2337,1016
440,4515
1793,4515
1637,4077
3837,4515
738,4515
2033,4515
1464,4515
1036,3501
1541,4515
176,4515
1668,4221
793,4515
2107,2990
1200,5273
593,4841
4513,4515
4174,4515
167,591
3452,4515
1739,4515
3151,4515
2224,4515
1245,3771
928,4515
1220,4515
227,4515
1617,441
1375,2840
2849,4515
4617,4515
2318,4515
962,4515
208,4515
1421,4515
4156,4515
1294,4515
1811,3770
948,4515
3101,4515
2625,4515
4133,4515
4127,4515
139,4515
2225,1318
2183,4515
634,4620
2261,1787
2876,4515
1791,3803
2644,1108
2874,2528
3087,3149
896,820
1566,4515
1919,807
3769,4515
4427,4515
1481,3977
205,3371
1462,4515
1888,726
4317,4515
3108,3260
1715,4515
2692,4515
53,4515
1226,4711
4039,4515
2324,1869
931,4092
3839,4515
1062,4515
2958,4515
1692,4850
1253,4851
1161,4515
3561,4515
3244,4515
1239,4515
1710,4758
100,2727
1751,4515
52,4515
2768,4515
2915,4515
4492,4515
1226,3541
1561,4085
78,4515
1389,4712
3517,4515
4163,4515
610,4515
2241,4515
3844,1673
2235,4515
41,4515
3440,4515
2543,4515
1217,4515
1573,4674
1157,4515
1649,4515
2421,4515
1154,1059
552,4515
425,4791
275,4515
1816,4515
1465,4515
4746,4515
2564,4515
1154,1318
4697,4515
1082,4183
989,4515
1736,328
3099,4515
4298,4515
2304,4515
584,4515
1634,4515
35,4515
1864,4515
2123,4515
530,4515
3566,4515
3361,4515
1314,4515
1529,1295
1609,2448
3940,4515
458,4515
2548,4515
1084,4092
1663,4515
3806,4515
2772,4515
4316,4515
115,2048
1387,4515
3478,5438
1388,4515
2281,4515
2330,4515
2469,4515
631,3160
1888,4515
1902,4515
613,4515
3895,4515
2323,4644
1014,1805
63,4515
1241,4535
4271,4515
3786,4515
1616,3796
1630,4733
4344,4515
3926,4515
1746,2864
396,4553
4080,4515
485,4515
1315,4515
2420,4515
1526,4515
2710,4515
2494,2321
4275,4515
1553,652
4404,4515
1310,4515
4360,4515
2645,4515
1145,4515
2307,4515
1801,2820
3830,4515
1467,3084
291,4515
278,4515
1503,4515
2342,4515
2853,4515
4683,4515
4153,4515
4203,4515
910,5425
4541,4515
2851,4515
2212,4515
725,4515
2789,683
3349,2456
1246,4812
2858,4515
2230,4515
4474,4515
4547,4515
1835,4736
1636,4515
1534,4515
3727,4515
2641,4515
1709,4801
3571,4515
2632,3235
1834,4515
3265,4515
311,4515
402,3492
2050,4515
1034,4515
1425,4515
2118,4515
2819,4515
4472,4515
2190,4448
407,4515
2257,4515
2476,4515
2182,4469
3083,4515
2164,3765
296,4515
3095,4515
1664,4515
2396,4515
1214,3865
2750,3034
3348,3659
2034,4515
1151,4515
1519,3761
2827,4515
1633,4515
4382,4515
1186,4515
1,1935
1420,4515
2179,4515
2956,4515
587,425
935,3865
2467,4515
4440,4515
3371,4515
3193,4515
98,4515
375,4515
2239,4515
1541,68
3085,4515
1211,1085
2280,3089
2099,4515
1246,4515
1613,4515
2585,922
489,4515
4062,4515
2333,4515
495,4515
3166,4515
4258,4515
2260,4383
4114,4515
1245,4515
2742,4515
4387,4515
3469,4515
448,2416
520,4515
4625,4515
1161,4881
1170,2543
2983,4515
3457,4515
1729,4127
111,4515
2585,2212
3938,3875
2797,4944
4453,4515
2449,4515
1799,4911
2632,4515
3080,1717
2002,4515
3270,2695
3417,4515
273,4515
2323,4515
3779,1077
1131,4515
813,4515
2201,4515
2618,4515
4093,4515
3645,4515
4218,4515
1433,4362
2623,4515
4150,4114
3165,4515
2507,4215
1433,4712
145,4515
1277,4092
1002,4515
3192,4515
757,4515
3276,4515
933,4515
1293,4515
472,4515
234,4515
1586,4515
3208,4515
3771,1133
4199,4515
214,4515
1015,4515
2750,4515
1082,3923
2941,4515
3466,4515
3603,698
3531,4515
953,98
1151,58
3780,2336
2029,4515
240,4515
2000,870
1774,4515
2784,4515
3846,4515
1529,3865
3439,4515
2049,4515
141,4515
2324,3350
177,4515
3057,4515
1354,4406
1394,2147
4064,2602
2537,4515
1075,4515
2252,2006
1264,2812
1057,4515
2522,4515
3758,4515
4119,4515
2196,4515
2017,4515
3148,4515
1926,2643
2304,502
4378,4515
3215,4515
1691,4515
1014,1805
2123,483
4241,4515
2472,4515
3135,4515
3343,4515
4112,4515
1888,490
1502,4205
2161,1379
1678,1318
1529,3861
4153,1981
3977,4515
2164,4515
133,4515
1272,4515
1474,4515
3397,4515
277,484
1888,2770
1775,4515
4716,4515
2300,4515
4256,4515
2668,4515
3358,4515
2090,4515
4028,4515
3868,4515
1831,3081
2149,4515
3352,4515
3377,4515
853,4515
4468,4515
323,4515
3676,4515
3685,4515
289,4515
3607,4515
3780,4515
1249,647
1374,4077
1579,1328
2922,4515
1689,4344
1233,4163
3779,2407
846,4202
1795,3289
1195,2338
935,4362
2277,4515
2653,4515
2248,4515
1265,4515
2323,3758
3432,4515
448,2417
2451,4515
100,1221
2773,4515
3033,4515
1810,4515
3359,3407
1173,2593
2799,4515
1871,4515
1887,4515
4054,4515
3643,4515
1573,4711
3504,4515
3954,4515
1108,4515
3288,4515
1076,4515
1150,4515
1863,4515
1289,4515
3792,4515
3406,4515
1985,1708
4322,4515
2211,4515
349,4515
