id,A_id,B_id
881,1103,3557
882,2591,4456
883,2546,4423
884,2866,4294
885,828,4515
886,2866,3622
887,4053,5409
888,481,4515
889,262,4286
890,3926,2174
891,3015,4515
892,935,4111
893,1837,3656
894,1522,63
895,3632,2203
896,1519,1279
897,1811,4515
898,1481,4711
899,3080,1717
900,3626,299
901,1888,3312
902,896,3057
903,428,3072
904,1609,2338
905,1573,4711
906,3479,3032
908,2507,4184
909,2199,4307
910,725,4515
911,85,3973
912,552,4515
913,4131,1080
914,766,4477
915,3141,918
916,1214,4646
917,1573,3516
918,1653,1870
919,1170,2549
920,2301,4515
921,1374,4092
922,790,4515
923,1237,368
924,1650,4183
925,935,3845
926,778,4515
927,912,982
928,2277,4515
929,1965,4659
930,1394,5072
931,1264,2812
932,1208,726
933,434,4515
934,1792,1059
935,68,2417
936,1894,215
937,1233,4188
938,649,4515
939,2252,2006
940,2604,3914
941,1888,726
942,1831,3081
943,1678,2946
944,627,4515
946,2130,4515
947,2157,3517
948,926,3804
949,2774,4515
950,4490,4515
952,2261,1787
953,2190,4448
954,3149,523
955,504,2692
956,1692,4092
957,2997,4515
958,2205,4515
959,395,4515
960,479,1639
961,3345,5189
963,1008,4953
964,1380,4090
965,2746,4515
966,1434,3312
967,2777,4515
968,3689,4515
970,630,4515
971,1934,4515
972,2070,4470
973,2324,2702
974,1877,4515
975,1558,3729
976,673,4515
977,3822,4515
978,534,4515
979,1502,4205
980,1286,4515
981,2308,4515
982,195,4515
983,18,4515
984,1792,1004
985,723,3506
986,1254,4092
987,1394,2147
988,3232,2657
989,1769,4102
990,1946,3996
991,1759,4433
992,1614,1318
994,2664,4958
995,3954,4368
996,594,4515
997,1474,146
998,1928,2200
999,2918,2206
1000,1208,1359
1001,1084,4092
1002,1433,4092
1003,2294,873
1004,383,3658
1006,4605,2190
1007,1917,2435
1008,2465,4515
1010,1037,4467
1011,3828,2066
1012,1400,3557
1013,766,2409
1014,1911,4515
1015,935,3865
1016,2264,4881
1017,808,578
1018,1400,4383
1019,1038,4515
1020,3450,4515
1021,2463,1909
1022,214,4515
1023,1027,658
1024,1905,197
1025,2337,4415
1026,1375,4560
1027,1518,4515
1028,2425,851
1029,1053,3084
1030,1172,4731
1031,2333,4515
1033,845,4515
1034,1207,5087
1035,768,3660
1036,1301,4515
1037,899,1660
1038,1729,4127
1039,1321,232
1040,2276,4049
1041,1710,3526
1042,1540,5063
1043,1708,3883
1044,975,4888
1045,1233,4163
1046,1573,3820
1047,2194,3988
1048,2325,4515
1049,732,212
1050,2346,2294
1051,1354,4031
1052,3191,4515
1053,1161,4881
1054,4022,551
1055,1216,3622
1057,1186,94
1058,1837,3516
1059,2668,4378
1060,3388,1819
1061,1151,58
1063,1205,4515
1064,1977,3352
1065,583,2107
1066,2662,4515
1067,2286,3761
1068,1082,4796
1069,1354,4711
1070,3609,4515
1071,1672,41
1072,2505,13
1073,2525,3914
1074,1198,4515
1075,2088,4515
1077,1374,3815
1078,2145,820
1079,2906,278
1080,1993,4515
1081,2365,4092
1082,720,3674
1083,1832,1606
1084,4070,3047
1085,2244,3430
1086,1311,4031
1087,3853,4242
1088,125,2173
1089,3605,1700
1090,1111,4854
1091,2260,4711
1092,384,4057
1093,1738,4814
1094,3098,1549
1095,1573,3557
1096,2260,4802
1097,1483,1729
1098,1573,4383
1099,3782,2555
1100,1728,4515
1101,3478,5438
1102,1638,4515
1103,2810,4357
