A_id,B_id
842,4515
2982,4515
2747,4515
680,4515
2585,2212
1874,2996
1301,2904
921,4515
676,4515
2340,4515
1325,4515
615,4515
575,4515
1461,4515
4259,4515
1278,4515
3443,4515
2977,4515
3367,4515
1733,4515
1892,2697
2500,1606
2468,4515
2157,3517
1788,4515
2506,4515
2135,4515
2008,4771
1903,4515
1208,726
3855,4515
251,970
4117,4515
2260,4406
4150,4515
2077,4515
3012,4515
3664,2764
1328,4515
465,4515
2567,5280
1400,4031
2884,5162
631,3160
4685,4515
205,189
1330,4515
2252,2006
2089,4515
3374,4515
3779,4088
1433,4850
3211,4515
1454,4515
112,4515
3580,4217
3924,3026
3886,4515
87,1311
2137,3521
1761,3858
3682,4515
1165,4515
4730,4515
389,4515
4665,4515
1888,726
930,2711
2197,1787
3861,5334
1277,4646
1813,4515
291,4515
563,4515
2296,4515
1421,4711
100,2448
1835,4736
3671,4853
1400,4383
85,3973
3807,4515
3832,3285
1830,4515
2620,2443
1811,3770
3170,4515
3779,1586
4167,4515
3422,4515
1214,3845
1917,2435
30,636
594,2911
1609,1870
3735,4515
1872,2809
1559,4515
2602,4515
2186,4515
1082,3758
776,4212
3593,1555
2943,4515
2383,4515
3074,5290
645,4515
2637,4515
54,4515
526,4515
613,4515
1057,4515
1148,4031
2546,4515
1748,4515
935,4515
2104,4515
4538,4515
1668,4515
1331,1085
3046,4515
1746,2864
1375,4764
4367,4515
4298,4515
2047,2658
4108,4691
3575,4515
780,4515
1693,4515
2350,4515
2909,4515
573,4515
2304,502
1529,3845
3178,4515
2664,4957
1545,4515
3473,4515
1007,1260
2241,4515
1280,4515
3722,4515
1302,4515
936,4515
2330,4515
1286,4515
915,4515
1264,2812
3916,4515
3134,4515
2099,4515
2190,4448
3248,4515
2232,4515
414,4515
458,4515
3126,4515
4354,4515
1417,3962
3771,1133
2307,262
2121,4515
1709,3959
3392,4515
1794,2213
1048,4515
410,4515
1837,3557
1780,4515
1529,4646
1211,4515
1505,4515
2337,1015
3045,4515
2223,4515
1922,4515
2088,1049
3866,4515
4069,4515
4330,4515
3141,918
4337,4515
917,1348
550,2375
1199,3713
3244,4515
2118,4515
440,5429
789,4515
3743,4515
1489,4515
1593,130
3948,2865
3782,2555
1850,3434
3908,4515
1953,4515
2057,4515
1793,915
2225,1004
2346,2294
3021,2257
1037,3803
297,2459
479,1639
2865,4515
2174,4515
2535,4515
3925,4515
3889,4515
2300,4515
1034,5353
2173,4518
1506,5414
1324,4515
4248,4515
2301,4515
3479,3032
3218,4515
3439,4515
4361,4515
2145,4515
1140,4515
1072,4515
3757,2339
3236,4515
