,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
136,Ben Reiter ,Hardcover,$18.36,9780525576648,$27.00,272.0,6.4 x 1 x 9.4 inches,07/10/18,Crown Archetype,Astroball: The New Way to Win It All
137,"Ari Folman, Anne Frank , et al. ",Hardcover,$14.88,9781101871799,$24.95,160.0,7.3 x 0.7 x 10.5 inches,10/02/18,Pantheon,Anne Frank's Diary: The Graphic Adaptation (Pantheon Graphic Library)
138,Carolyn Forché ,Hardcover,$18.30,9780525560371,$28.00,400.0,6.4 x 1.3 x 9.6 inches,03/19/19,Penguin Press,What You Have Heard Is True: A Memoir of Witness and Resistance
139,Margot Lee Shetterly ,Paperback,$9.78,9780062363602,$15.99,368.0,5.3 x 0.8 x 8 inches,12/06/16,William Morrow Paperbacks; Media Tie In edition,Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race
140,Ishmael Beah ,Paperback,$7.69,9780374531263,$14.00,229.0,5.5 x 0.8 x 8.5 inches,08/05/08,Sarah Crichton Books; 1st edition,A Long Way Gone: Memoirs of a Boy Soldier
141,Tim Marshall ,Paperback,$11.55,9781501121470,$18.00,320.0,6 x 0.8 x 9 inches,10/11/16,Scribner; Reprint edition,Prisoners of Geography: Ten Maps That Explain Everything About the World (Politics of Place)
142,Norman Ohler ,Paperback,$10.87,9781328915344,$15.99,304.0,5.3 x 0.8 x 8 inches,03/06/18,Mariner Books; Reprint edition,Blitzed
143,Seth A. Roberts M.A. ,Paperback,$16.31,9781438010670,$23.99,656.0,8.4 x 1.3 x 10.9 inches,01/01/18,Barrons Educational Series; Ninth edition,Barron's AP European History with Online Tests
144,DK Travel ,Paperback,$19.04,9781465457196,$28.00,408.0,5.1 x 0.9 x 8.8 inches,02/21/17,DK Eyewitness Travel; Revised edition,DK Eyewitness Travel Guide Japan
145,Ann Shen ,Hardcover,$16.15,9781452153933,$19.95,216.0,7.8 x 0.9 x 9.2 inches,09/06/16,Chronicle Books; 1 edition,"Bad Girls Throughout History: 100 Remarkable Women Who Changed the World (Women in History Book, Book of Women Who Changed the World)"
146,Iain McGilchrist ,Paperback,$17.00,9780300245929,$20.00,616.0,6 x 1.8 x 8.8 inches,03/26/19,"Yale University Press; 2, New Expanded edition",The Master and His Emissary: The Divided Brain and the Making of the Western World
147,Steve Luxenberg ,Hardcover,$22.48,9780393239379,$35.00,624.0,6.6 x 1.6 x 9.6 inches,02/12/19,W. W. Norton & Company; 1 edition,"Separate: The Story of Plessy v. Ferguson, and America's Journey from Slavery to Segregation"
148,Carl Gallups and Zev Porat ,Paperback,$17.96,9781948014120,$19.95,356.0,6 x 1 x 9 inches,02/01/19,Defender Publishing,"The Rabbi, the Secret Message, and the Identity of Messiah"
149,Noah Rothman ,Hardcover,$18.89,9781621577928,$28.99,256.0,6 x 1.1 x 9 inches,01/29/19,Gateway Editions,Unjust: Social Justice and the Unmaking of America
150,Gregory A. Freeman ,Paperback,$13.60,9780451224958,$17.00,336.0,6 x 0.8 x 9 inches,09/02/08,Dutton Caliber; Reprint edition,The Forgotten 500: The Untold Story of the Men Who Risked All for the Greatest Rescue Mission of World War II
151,Yvon Chouinard and Naomi Klein ,Paperback,$7.22,9780143109679,$20.00,272.0,6.5 x 0.7 x 9.4 inches,09/06/16,Penguin Books; Updated 2nd edition edition,Let My People Go Surfing: The Education of a Reluctant Businessman--Including 10 More Years of Business Unusual
152,John Berendt ,Paperback,$11.52,9780679751526,$16.95,400.0,5.2 x 0.9 x 7.9 inches,06/28/99,Vintage Books; Reprint edition,Midnight in the Garden of Good and Evil: A Savannah Story
153,Rebecca Traister ,Hardcover,$15.44,9781501181795,$27.00,320.0,6 x 1 x 9 inches,10/02/18,Simon & Schuster,Good and Mad: The Revolutionary Power of Women's Anger
154,Henry Eliot ,Hardcover,$12.32,9781984824448,$18.00,240.0,5.4 x 1 x 8 inches,03/05/19,Three Rivers Press,Follow This Thread: A Maze Book to Get Lost In
155,Andrew S. Curran ,Hardcover,$16.41,9781590516706,$28.95,528.0,6.3 x 1.3 x 9.3 inches,01/15/19,Other Press,Diderot and the Art of Thinking Freely
156,Jason Chaffetz ,Hardcover,$14.59,9780062851567,$28.99,256.0,6 x 0.9 x 9 inches,09/18/18,Broadside Books,The Deep State: How an Army of Bureaucrats Protected Barack Obama and Is Working to Destroy the Trump Agenda
157,James Comey ,Hardcover,$12.84,9781250192455,$29.99,312.0,9.4 x 6.1 x 8 inches,04/17/18,Flatiron Books; First Edition edition,"A Higher Loyalty: Truth, Lies, and Leadership"
158,Margaret Leslie Davis ,Hardcover,$11.74,9781592408672,$27.00,304.0,6.3 x 1.1 x 9.3 inches,03/19/19,TarcherPerigee,The Lost Gutenberg: The Astounding Story of One Book's Five-Hundred-Year Odyssey
159,"Natural History Museum of Los Angeles County, Lila M. Higgins, et al. ",Paperback,$16.34,9781604697100,$24.95,288.0,6.5 x 9 inches,03/19/19,Timber Press,Wild LA: Explore the Amazing Nature in and Around Los Angeles
160,Peter Frankopan ,Paperback,$13.59,9781101912379,$20.00,672.0,6.1 x 1.5 x 9.1 inches,03/07/17,Vintage; Reprint edition,The Silk Roads: A New History of the World
161,Hampton Sides ,Hardcover,$19.49,9780385541152,$30.00,416.0,6.5 x 1.4 x 9.5 inches,10/02/18,Doubleday; 1st Edition edition,"On Desperate Ground: The Marines at The Reservoir, the Korean War's Greatest Battle"
162,Ibram X. Kendi ,Hardcover,$11.37,9781568584638,$32.99,592.0,6.4 x 2.2 x 9.6 inches,04/12/16,Bold Type Books; First Edition/First Printing edition,Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner)
163,Adam Makos and Larry Alexander ,Paperback,$13.49,9780425255735,$17.00,400.0,5.9 x 1.1 x 9 inches,05/06/14,Dutton Caliber; Reprint edition,A Higher Call: An Incredible True Story of Combat and Chivalry in the War-Torn Skies of World War II
164,Anthony Harkins and Meredith McCarroll ,Paperback,$19.45,9781946684790,$28.99,432.0,5.5 x 1 x 8.5 inches,02/13/19,West Virginia University Press; 1st edition,Appalachian Reckoning: A Region Responds to Hillbilly Elegy
165,Najmieh Batmanglij ,Hardcover,$37.80,9781933823478,$54.95,640.0,8.8 x 1.8 x 9.7 inches,03/03/11,Mage Publishers; 25th Anniversary Edition edition,Food of Life: Ancient Persian and Modern Iranian Cooking and Ceremonies
166,N. T. Wright ,Hardcover,$20.09,9780061730580,$29.99,480.0,6 x 1.4 x 9 inches,02/27/18,HarperOne; 1st Edition edition,Paul: A Biography
167,E. B. Sledge ,Paperback,$13.60,9780891419068,$17.00,352.0,5.4 x 0.7 x 8.2 inches,05/01/07,Presidio Press; 1st edition,With the Old Breed: At Peleliu and Okinawa
168,Andrew Delbanco ,Hardcover,$18.38,9781594204050,$30.00,464.0,6.4 x 1.4 x 9.6 inches,11/06/18,Penguin Press,The War Before the War: Fugitive Slaves and the Struggle for America's Soul from the Revolution to the Civil War
169,Charles C. Mann ,Paperback,$14.89,9781400032051,$18.00,541.0,5.2 x 1.2 x 8 inches,10/10/06,Vintage Books; 1st edition,1491: New Revelations of the Americas Before Columbus
170,Robert A. Caro ,Paperback,$17.68,9780394720241,$26.00,1344.0,5.9 x 1.8 x 9.2 inches,07/12/75,Vintage; later Printing edition,The Power Broker: Robert Moses and the Fall of New York
171,Peggy J. Martin ,Paperback,$12.23,9781260123401,$18.00,384.0,8.5 x 0.7 x 10.8 inches,08/01/18,McGraw-Hill Education; 1 edition,5 Steps to a 5: AP World History 2019
172,Helen Zia ,Hardcover,$18.30,9780345522320,$28.00,544.0,6.4 x 1.7 x 9.5 inches,01/22/19,Ballantine Books,Last Boat Out of Shanghai: The Epic Story of the Chinese Who Fled Mao's Revolution
173,Liza Mundy ,Paperback,$8.64,9780316352543,$16.99,448.0,5.5 x 1.2 x 8.2 inches,10/02/18,Hachette Books; Reprint edition,Code Girls: The Untold Story of the American Women Code Breakers of World War II
174,Sarah Smarsh ,Hardcover,$13.00,9781501133091,$26.00,304.0,5.5 x 1.1 x 8.4 inches,09/18/18,Scribner; 1st Edition edition,Heartland: A Memoir of Working Hard and Being Broke in the Richest Country on Earth
175,Victor H. Green and Nat Gertler ,Paperback,$17.99,9781949996067,$19.99,313.0,6.7 x 0.7 x 9.6 inches,01/11/19,About Comics,The Negro Motorist Green Book Compendium
176,Art Spiegelman ,Paperback,$12.81,9780394747231,$15.95,159.0,6.6 x 0.4 x 9.1 inches,08/12/86,Pantheon,Maus I: A Survivor's Tale - My Father Bleeds History
177,National Geographic ,Paperback,$13.38,9781426219818,$19.99,400.0,7.2 x 0.9 x 9.1 inches,10/23/18,National Geographic,"National Geographic Almanac 2019: Hot New Science - Incredible Photographs - Maps, Facts, Infographics & More"
178,Martin Cate and Rebecca Cate ,Hardcover,$20.31,9781607747321,$30.00,352.0,7.8 x 1.2 x 9.3 inches,06/07/16,Ten Speed Press; unabridged edition,"Smuggler's Cove: Exotic Cocktails, Rum, and the Cult of Tiki"
179,William Sturkey ,Hardcover,$20.04,9780674976351,$29.95,456.0,6.5 x 1.5 x 9.5 inches,03/28/19,Belknap Press: An Imprint of Harvard University Press; 1 edition,Hattiesburg: An American City in Black and White
180,Hunter S. Thompson and Ralph Steadman ,Paperback,$6.87,9780679785897,$15.00,204.0,5.2 x 0.6 x 8 inches,05/12/98,Vintage; 2nd edition,Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream
181,Dave Cullen ,Hardcover,$17.85,9780062882943,$27.99,400.0,6 x 1.2 x 9 inches,02/12/19,Harper,Parkland: Birth of a Movement
182,Ron Chernow ,Hardcover,$26.70,9781594204876,$40.00,1104.0,6.6 x 2.1 x 9.6 inches,10/10/17,Penguin Press; 1st edition,Grant
183,Michael Tomasky ,Hardcover,$17.08,9781631494086,$27.95,288.0,6.4 x 1.2 x 9.6 inches,02/05/19,Liveright; 1 edition,If We Can Keep It: How the Republic Collapsed and How it Might Be Saved
184,Jeffrey K. Liker ,Hardcover,$20.24,9780071392310,$32.00,330.0,6.2 x 1.1 x 9.2 inches,01/07/04,McGraw-Hill Education; 1 edition,The Toyota Way: 14 Management Principles from the World's Greatest Manufacturer
185,Dave Grossman ,Paperback,$10.98,9780316040938,$17.00,416.0,5.5 x 1.1 x 8.2 inches,06/22/09,Back Bay Books; Revised edition,On Killing: The Psychological Cost of Learning to Kill in War and Society
186,Michael Pillsbury ,Paperback,$12.64,9781250081346,$17.99,350.0,6.3 x 1 x 8.2 inches,03/15/16,Griffin; Reprint edition,Hundred-Year Marathon
187,Josephus and William Whiston ,Hardcover,$15.07,9780785250500,$25.99,1200.0,6.6 x 1.6 x 9.5 inches,07/30/03,Thomas Nelson; First Trade Paper ed. edition,Josephus: The Complete Works
188,Kaplan Test Prep ,Paperback,$13.91,9781506203379,$21.99,420.0,8.4 x 0.9 x 10.9 inches,02/06/18,Kaplan Publishing,AP World History Prep Plus 2018-2019: 3 Practice Tests + Study Plans + Targeted Review & Practice + Online (Kaplan Test Prep)
189,James W. Loewen ,Paperback,$12.23,9781620973929,$17.99,480.0,6 x 1.1 x 9.2 inches,07/17/18,The New Press; Reprint edition,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong
190,Ronen Bergman ,Hardcover,$20.19,9781400069712,$35.00,784.0,6.3 x 1.6 x 9.5 inches,01/30/18,Random House; 1st Edition edition,Rise and Kill First: The Secret History of Israel's Targeted Assassinations
191,Holger Eckhertz and Sprech Media ,Paperback,$12.59,9781539586395,$13.99,330.0,6 x 0.8 x 9 inches,11/04/16,CreateSpace Independent Publishing Platform,D DAY Through German Eyes - The Hidden Story of June 6th 1944
192,James H. Cone ,Paperback,$20.40,9781626980051,$25.00,224.0,5.5 x 0.5 x 8.2 inches,01/11/13,Orbis Books; Reprint edition,The Cross and the Lynching Tree
193,"Marvin W. Meyer, Elaine H. Pagels, et al. ",Paperback,$17.62,9780061626005,$32.99,864.0,6 x 1.4 x 9 inches,05/26/09,HarperOne; 1st edition,The Nag Hammadi Scriptures: The Revised and Updated Translation of Sacred Gnostic Texts Complete in One Volume
194,Ken Forkish ,Hardcover,$17.98,9781607748380,$30.00,256.0,8.2 x 0.9 x 10.3 inches,04/19/16,Ten Speed Press,The Elements of Pizza: Unlocking the Secrets to World-Class Pies at Home
195,Donnie Eichar ,Paperback,$13.55,9781452140032,$15.95,288.0,5.9 x 0.6 x 9 inches,10/21/14,Chronicle Books; Reprint edition,"Dead Mountain: The Untold True Story of the Dyatlov Pass Incident (Historical Nonfiction Bestseller, True Story Book of Survival)"
196,Nancy MacLean ,Paperback,$12.23,9781101980972,$18.00,368.0,5.4 x 0.8 x 8.4 inches,06/05/18,Penguin Books; Reprint edition,Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America
197,"Enoch, Horn, et al. ",Hardcover,$16.65,9780998142623,$19.95,104.0,6.2 x 0.5 x 9 inches,03/24/17,Defender Publishing,The Book of Enoch
198,Nick Estes ,Hardcover,$17.67,9781786636720,$26.95,320.0,5.8 x 1 x 8.5 inches,03/05/19,Verso,"Our History Is the Future: Standing Rock Versus the Dakota Access Pipeline, and the Long Tradition of Indigenous Resistance"
199,Bill O'Reilly and Martin Dugard ,Hardcover,$16.16,9781627790642,$30.00,352.0,6.6 x 1.3 x 9.6 inches,09/19/17,Henry Holt and Co.; First Edition edition,Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series)
200,DK ,Hardcover,$45.00,9781465475855,$50.00,440.0,10.2 x 1.4 x 12.2 inches,10/23/18,DK,History of the World Map by Map
201,Marcus Luttrell and Patrick Robinson ,Paperback,$9.39,9780316067607,$17.00,390.0,5.5 x 1.4 x 8.2 inches,05/01/08,Back Bay Books; 1st edition,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10
202,Amber Tamblyn ,Hardcover,$16.51,9781984822987,$25.00,272.0,5.2 x 0.9 x 8.3 inches,03/05/19,Crown Archetype,Era of Ignition: Coming of Age in a Time of Rage and Revolution
203,Max Hastings ,Hardcover,$23.98,9780062405661,$37.50,896.0,6 x 1.8 x 9 inches,10/16/18,Harper; 1st Edition edition,"Vietnam: An Epic Tragedy, 1945-1975"
204,Mark Taylor ,Paperback,$15.96,9780998142678,$19.95,220.0,6 x 0.7 x 8.9 inches,07/04/17,Defender Publishing,The Trump Prophecies: The Astonishing True Story of the Man Who Saw Tomorrow... and What He Says Is Coming Next
205,Mary Beard ,Paperback,$5.86,9781631492228,$17.95,608.0,5.5 x 1.2 x 8.3 inches,09/06/16,Liveright; 1 edition,SPQR: A History of Ancient Rome
206,Elizabeth Lev ,Paperback,$13.84,9781622826124,$18.95,320.0,5.6 x 0.6 x 8.4 inches,09/20/18,Sophia Institute Press,How Catholic Art Saved the Faith: The Triumph of Beauty and Truth in Counter-Reformation Art
207,Antonia Felix ,Hardcover,$16.96,9781454926368,$24.95,208.0,9.2 x 1.2 x 11 inches,04/04/17,Sterling,Michelle Obama: A Photographic Journey
208,The Princeton Review ,Paperback,$13.59,9781524758066,$19.99,416.0,8.4 x 1 x 10.8 inches,08/07/18,Princeton Review; 2019 Edition edition,"Cracking the AP European History Exam, 2019 Edition: Practice Tests & Proven Techniques to Help You Score a 5 (College Test Preparation)"
209,Wayne Coffey ,Hardcover,$18.30,9781524760885,$28.00,304.0,9.1 x 6.1 x 0.8 inches,03/26/19,Crown Archetype,"They Said It Couldn't Be Done: The '69 Mets, New York City, and the Most Astounding Season in Baseball History"
210,Sam Walker ,Paperback,$12.23,9780812987072,$18.00,368.0,5.5 x 0.8 x 8.2 inches,05/01/18,Random House Trade Paperbacks; Reprint edition,The Captain Class: A New Theory of Leadership
211,Timothy Snyder ,Paperback,$6.39,9780804190114,$8.99,128.0,4.4 x 0.4 x 6.2 inches,02/28/17,Tim Duggan Books; 1st edition,On Tyranny: Twenty Lessons from the Twentieth Century
212,Doug Jones ,Hardcover,$19.49,9781250201447,$29.99,384.0,6.2 x 1.5 x 9.6 inches,03/05/19,All Points Books,Bending Toward Justice: The Birmingham Church Bombing that Changed the Course of Civil Rights
213,Doris Kearns Goodwin ,Paperback,$14.28,9780743270755,$22.00,944.0,6.1 x 1.7 x 9.2 inches,09/26/06,Simon & Schuster,Team of Rivals: The Political Genius of Abraham Lincoln
214,Graham Hancock ,Paperback,$14.95,9780517887295,$22.00,592.0,6.1 x 1.6 x 9.2 inches,04/02/96,Three Rivers Press; Reissue edition,Fingerprints of the Gods
215,DK Travel ,Paperback,$16.37,9781465471598,$25.00,320.0,5.1 x 0.7 x 8.6 inches,10/02/18,DK Eyewitness Travel,DK Eyewitness Travel Guide Ireland: 2019
216,Robert Greene ,Paperback,$21.04,9780143112785,$25.00,512.0,6.4 x 1.1 x 9.1 inches,12/14/07,Penguin Books; Reprint edition,The 33 Strategies of War (Joost Elffers Books)
217,Ashlee Vance ,Paperback,$11.55,9780062301253,$16.99,416.0,5.3 x 1 x 8 inches,01/24/17,Ecco; Reprint edition,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future"
218,W. K. Stratton ,Hardcover,$18.30,9781632862129,$28.00,352.0,6.4 x 1.2 x 9.6 inches,02/12/19,Bloomsbury Publishing,"The Wild Bunch: Sam Peckinpah, a Revolution in Hollywood, and the Making of a Legendary Film"
219,Carol Anderson ,Paperback,$10.98,9781632864130,$17.00,304.0,5.6 x 0.9 x 8.2 inches,09/05/17,Bloomsbury USA; Reprint edition,White Rage: The Unspoken Truth of Our Racial Divide
220,Will Hunt ,Hardcover,$17.70,9780812996746,$27.00,288.0,5.8 x 1 x 8.5 inches,01/29/19,Spiegel & Grau,Underground: A Human History of the Worlds Beneath Our Feet
221,Martin Mosebach and Alta Price ,Hardcover,$17.10,9780874868395,$26.00,272.0,5.2 x 1 x 8.5 inches,02/15/19,Plough Publishing House,The 21: A Journey into the Land of Coptic Martyrs
222,Sarah Stewart Holland and Beth A. Silvers ,Hardcover,$16.50,9781400208418,$24.99,224.0,5.7 x 0.8 x 8.7 inches,02/05/19,Thomas Nelson,I Think You're Wrong (But I'm Listening): A Guide to Grace-Filled Political Conversations
223,Ron Chernow ,Paperback,$15.75,9780143119968,$21.00,928.0,6 x 1.9 x 9.2 inches,09/27/11,Penguin Books,Washington: A Life
224,Madeleine Albright ,Hardcover,$15.64,9780062856524,$27.99,304.0,8.9 x 6.4 x 1.3 inches,04/10/18,Harper; First Edition edition,Fascism: A Warning
225,Jason Fagone ,Paperback,$12.71,9780062430519,$16.99,464.0,5.3 x 1 x 8 inches,08/28/18,Dey Street Books; Reprint edition,"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine Who Outwitted America's Enemies"
226,James Campbell ,Paperback,$15.24,9780743453141,$17.00,320.0,5.5 x 0.8 x 8.4 inches,09/13/05,Atria Books; First Printing edition,"The Final Frontiersman: Heimo Korth and His Family, Alone in Alaska's Arctic Wilderness"
227,Colin Woodard ,Paperback,$12.23,9780143122029,$18.00,384.0,5.4 x 0.8 x 8.4 inches,09/25/12,Penguin Books; Reprint edition,American Nations: A History of the Eleven Rival Regional Cultures of North America
228,Raymond Ibrahim and Victor Davis Hanson ,Hardcover,$19.04,9780306825552,$28.00,352.0,6.2 x 1.1 x 9.2 inches,08/28/18,Da Capo Press,Sword and Scimitar: Fourteen Centuries of War between Islam and the West
229,Stephen Ambrose ,Paperback,$12.23,9780684004549,$19.00,521.0,6.1 x 1.2 x 9.2 inches,06/02/97,Simon & Schuster; 1st edition,"Undaunted Courage: Meriwether Lewis, Thomas Jefferson, and the Opening of the American West"
230,Colonel David H. Hackworth and Julie Sherman ,Paperback,$14.88,9780671695347,$26.00,875.0,6.1 x 1.7 x 9.2 inches,04/15/90,Touchstone,About Face: The Odyssey of an American Warrior
231,Brandon Stanton ,Hardcover,$16.82,9781250038821,$29.99,304.0,7.3 x 1 x 9.1 inches,10/15/13,St. Martin's Press; 1st edition,Humans of New York
232,D'Arcy O'Connor ,Paperback,$12.76,9781493037001,$18.95,312.0,6 x 0.7 x 9 inches,08/24/18,Lyons Press; Updated edition,Secret Treasure of Oak Island: The Amazing True Story of a Centuries-Old Treasure Hunt
233,James Hoffmann ,Hardcover,$24.60,9780228100942,$35.00,272.0,7.5 x 1 x 10 inches,10/10/18,"Firefly Books; Second Edition, Revised, Updated and Expanded edition","The World Atlas of Coffee: From Beans to Brewing -- Coffees Explored, Explained and Enjoyed"
234,Dietrich Bonhoeffer ,Paperback,$10.98,9780060608521,$14.99,122.0,5.4 x 0.4 x 8.1 inches,05/26/09,HarperOne; 1st Edition edition,Life Together: The Classic Exploration of Christian in Community
