,authors,book_format,cur_price,isbn13,old_price,pages,product_dimensions,publication_date,publisher,title
3908,Ron Stallworth ,Paperback,$11.22,9781250299055,$17.99,208.0,5.4 x 0.6 x 8.3 inches,07/31/18,Flatiron Books; Media Tie In edition,"Black Klansman: Race, Hate, and the Undercover Investigation of a Lifetime"
3909,Thomas K. Shor and Jetsunma Tenzin Palmo ,Paperback,$18.50,9780999291894,$19.95,320.0,6 x 0.8 x 9 inches,08/09/17,City Lion Press,A Step Away from Paradise: The True Story of a Tibetan Lama's Journey to a Land of Immortality
3910,Fredrik Backman ,Hardcover,$15.91,9781501196867,$24.00,208.0,5.5 x 8.4 inches,05/07/19,Atria Books,Things My Son Needs to Know about the World
3911,David Mann and Shaun Sanders ,Hardcover,$13.74,9780785220091,$24.99,272.0,6.3 x 0.9 x 9.3 inches,11/13/18,Thomas Nelson,"Us Against the World: Our Secrets to Love, Marriage, and Family"
3912,Emily Bernard ,Hardcover,$14.67,9780451493026,$25.95,240.0,5.3 x 1 x 7.8 inches,01/29/19,Knopf,"Black Is the Body: Stories from My Grandmother's Time, My Mother's Time, and Mine"
3913,Jim Cymbala and Dean Merrill ,Paperback,$11.55,9780310350606,$16.99,224.0,5.5 x 0.6 x 8.4 inches,02/20/18,"Zondervan; Updated, Expanded edition","Fresh Wind, Fresh Fire: What Happens When God's Spirit Invades the Hearts of His People"
3914,Chip Gaines ,Paperback,$12.18,9780785216247,$17.99,224.0,5.4 x 0.6 x 8.4 inches,02/26/19,Thomas Nelson; Reprint edition,Capital Gaines: Smart Things I Learned Doing Stupid Stuff
3915,Aaron James Draplin ,Hardcover,$27.09,9781419720178,$40.00,256.0,8 x 1.1 x 10 inches,05/17/16,Abrams; 1 edition,Draplin Design Co.: Pretty Much Everything
3916,Jennifer Marshall Bleakley ,Paperback,$8.69,9781496421753,$15.99,288.0,5.5 x 0.6 x 8.2 inches,05/08/18,Tyndale Momentum,Joey: How a Blind Rescue Horse Helped Others Learn to See
3917,Rachel Naomi Remen ,Paperback,$12.96,9781594482090,$17.00,384.0,5.6 x 1 x 8.2 inches,08/01/06,Riverhead Books; 10th Anniversary ed. edition,"Kitchen Table Wisdom: Stories that Heal, 10th Anniversary Edition"
3918,Maria Von Trapp ,Hardcover,$19.74,9781622826681,$29.95,256.0,8.1 x 0.8 x 9.1 inches,10/18/18,Sophia Institute Press,Around the Year with the Von Trapp Family
3919,Caitlin Doughty ,Hardcover,$16.96,9780393249897,$24.95,272.0,5.9 x 1 x 8.6 inches,10/03/17,W. W. Norton & Company; 1 edition,From Here to Eternity: Traveling the World to Find the Good Death
3920,Kathie Lee Gifford and Rabbi Jason Sobel ,Paperback,$7.48,9780310095019,$12.99,128.0,6 x 0.4 x 9 inches,06/12/18,Thomas Nelson; Study Guide edition,"The Rock, the Road, and the Rabbi Study Guide: Come to the Land Where It All Began"
3921,Bobby Bones ,Hardcover,$7.64,9780062795816,$26.99,224.0,6 x 0.8 x 9 inches,06/19/18,Dey Street Books; Signed copy edition,Fail Until You Don't: Fight Grind Repeat
3922,Anthony Bourdain ,Paperback,$13.37,9780062899545,$19.99,416.0,6 x 1 x 9 inches,10/23/18,Ecco; Deluxe edition,Kitchen Confidential Deluxe Edition: Adventures in the Culinary Underbelly
